============================================================
  MOTO RIDER — FULL CONTOUR
  734 points  (dx = distance from midline, dy = head-units from crown)
============================================================

  idx         dx         dy
  y=  5.7  [+0.2035 .. +0.7648] [-0.7710 .. -0.2097]
  y=  5.8  [+0.3763 .. +0.7895] [+0.2035 .. +0.2652] [-0.2652 .. -0.2035] [-0.7957 .. -0.3824]
  y=  5.9  [+0.2159 .. +0.7895] [-0.7895 .. -0.2221]
  y=  6.0  [+0.6600 .. +0.7957] [+0.4688 .. +0.5675] [+0.2282 .. +0.3207] [-0.8019 .. -0.2282]
  y=  6.1  [+0.2221 .. +0.8142] [-0.8142 .. -0.2221]
  y=  6.2  [+0.2159 .. +0.8142] [-0.8204 .. -0.2221]
  y=  6.3  [+0.2282 .. +0.8142] [-0.8142 .. -0.2344]
  y=  6.4  [+0.2467 .. +0.8204] [-0.8204 .. -0.2467]
  y=  6.5  [+0.4133 .. +0.8142] [+0.2406 .. +0.3084] [-0.8204 .. -0.2467]
  y=  6.6  [+0.2591 .. +0.8142] [-0.8142 .. -0.2591]
  y=  6.7  [+0.2714 .. +0.8080] [-0.8080 .. -0.2714]
  y=  6.8  [+0.2837 .. +0.8142] [-0.8142 .. -0.2837]
  y=  6.9  [+0.3022 .. +0.7772] [-0.7772 .. -0.3022]
  y=  7.0  [+0.3146 .. +0.7648] [-0.7648 .. -0.3207]
  y=  7.1  [+0.3331 .. +0.7525] [-0.7525 .. -0.3392]
  y=  7.2  [+0.3454 .. +0.7648] [-0.7648 .. -0.3454]
  y=  7.3  [+0.7093 .. +0.7772] [+0.3392 .. +0.4379] [-0.4379 .. -0.3454] [-0.7772 .. -0.7093]
  y=  7.4  [+0.6662 .. +0.7463] [+0.3454 .. +0.4934] [-0.4996 .. -0.3454] [-0.7463 .. -0.6662]
  y=  7.5  [+0.6847 .. +0.7895] [+0.3516 .. +0.4811] [-0.4811 .. -0.3577] [-0.7895 .. -0.6908]
  y=  7.6  [+0.3392 .. +0.8204] [-0.8204 .. -0.3392]
