============================================================
  HERO FIGURE — FULL EXTRACTED DATA
  640 contour pts, 118 strokes, 80 Y-levels
============================================================

── CONTOUR ──
  idx         dx         dy
  397    -0.0157     7.1278
  398    -0.0138     7.0931
  399    -0.0127     7.0593
  400    -0.0122     7.0259
  401    -0.0123     6.9926
  402    -0.0125     6.9594
  403    -0.0125     6.9261
  404    -0.0125     6.8928
  405    -0.0125     6.8595
  406    -0.0125     6.8262
  407    -0.0125     6.7929
  408    -0.0125     6.7596
  409    -0.0125     6.7263
  410    -0.0125     6.6930
  411    -0.0125     6.6597
  412    -0.0125     6.6264
  413    -0.0125     6.5931
  414    -0.0125     6.5598
  415    -0.0125     6.5265
  416    -0.0125     6.4932
  417    -0.0125     6.4599
  418    -0.0125     6.4266
  419    -0.0125     6.3933
  420    -0.0125     6.3600
  421    -0.0125     6.3267
  422    -0.0125     6.2934
  423    -0.0125     6.2601
  424    -0.0125     6.2268
  425    -0.0125     6.1935
  426    -0.0125     6.1602
  427    -0.0125     6.1270
  428    -0.0125     6.0937
  429    -0.0125     6.0604
  430    -0.0125     6.0271
  431    -0.0125     5.9938
  432    -0.0125     5.9605
  433    -0.0125     5.9272
  434    -0.0125     5.8939
  435    -0.0125     5.8606
  436    -0.0125     5.8273
  437    -0.0125     5.7940
  438    -0.0125     5.7607
  439    -0.0125     5.7274
  440    -0.0125     5.6941
  441    -0.0125     5.6608
  442    -0.0125     5.6275
  443    -0.0125     5.5942
  444    -0.0125     5.5609
  445    -0.0125     5.5276
  446    -0.0125     5.4943
  447    -0.0125     5.4610
  448    -0.0125     5.4277
  449    -0.0125     5.3944
  450    -0.0123     5.3612
  451    -0.0122     5.3279
  452    -0.0125     5.2946
  453    -0.0135     5.2609
  454    -0.0152     5.2263
  455    -0.0171     5.1908
  456    -0.0185     5.1553
  457    -0.0181     5.1213
  458    -0.0142     5.0907
  459    -0.0055     5.0649
  460    +0.0088     5.0449
  461    +0.0288     5.0303
  462    +0.0538     5.0198
  463    +0.0826     5.0116
  464    +0.1130     5.0033
  465    +0.1421     4.9928
  466    +0.1671     4.9789
  467    +0.1855     4.9607
  468    +0.1953     4.9388
  469    +0.1949     4.9148
  470    +0.1844     4.8912
  471    +0.1652     4.8699
  472    +0.1396     4.8518
  473    +0.1104     4.8371
  474    +0.0805     4.8250
  475    +0.0526     4.8135
  476    +0.0284     4.8007
  477    +0.0092     4.7847
  478    -0.0049     4.7642
  479    -0.0138     4.7386
  480    -0.0180     4.7087
  481    -0.0186     4.6754
  482    -0.0171     4.6405
  483    -0.0152     4.6054
  484    -0.0135     4.5708
  485    -0.0125     4.5370
  486    -0.0122     4.5035
  487    -0.0123     4.4702
  488    -0.0125     4.4370
  489    -0.0125     4.4037
  490    -0.0125     4.3704
  491    -0.0125     4.3371
  492    -0.0125     4.3039
  493    -0.0125     4.2706
  494    -0.0125     4.2373
  495    -0.0125     4.2040
  496    -0.0125     4.1707
  497    -0.0125     4.1374
  498    -0.0125     4.1041
  499    -0.0125     4.0708
  500    -0.0125     4.0375
  501    -0.0125     4.0042
  502    -0.0125     3.9709
  503    -0.0125     3.9376
  504    -0.0125     3.9043
  505    -0.0125     3.8710
  506    -0.0125     3.8377
  507    -0.0125     3.8044
  508    -0.0125     3.7711
  509    -0.0125     3.7378
  510    -0.0125     3.7045
  511    -0.0125     3.6712
  512    -0.0125     3.6379
  513    -0.0125     3.6046
  514    -0.0125     3.5713
  515    -0.0125     3.5380
  516    -0.0125     3.5047
  517    -0.0125     3.4714
  518    -0.0125     3.4381
  519    -0.0125     3.4048
  520    -0.0125     3.3715
  521    -0.0125     3.3382
  522    -0.0125     3.3049
  523    -0.0125     3.2716
  524    -0.0125     3.2383
  525    -0.0125     3.2050
  526    -0.0125     3.1717
  527    -0.0125     3.1384
  528    -0.0125     3.1051
  529    -0.0125     3.0718
  530    -0.0125     3.0385
  531    -0.0125     3.0052
  532    -0.0125     2.9719
  533    -0.0125     2.9386
  534    -0.0125     2.9053
  535    -0.0125     2.8720
  536    -0.0125     2.8387
  537    -0.0125     2.8054
  538    -0.0125     2.7721
  539    -0.0125     2.7388
  540    -0.0125     2.7055
  541    -0.0125     2.6722
  542    -0.0125     2.6389
  543    -0.0125     2.6056
  544    -0.0125     2.5723
  545    -0.0125     2.5390
  546    -0.0125     2.5057
  547    -0.0125     2.4724
  548    -0.0125     2.4391
  549    -0.0125     2.4058
  550    -0.0125     2.3725
  551    -0.0125     2.3392
  552    -0.0125     2.3059
  553    -0.0125     2.2726
  554    -0.0125     2.2393
  555    -0.0125     2.2060
  556    -0.0125     2.1727
  557    -0.0125     2.1394
  558    -0.0125     2.1061
  559    -0.0125     2.0728
  560    -0.0125     2.0395
  561    -0.0125     2.0062
  562    -0.0125     1.9729
  563    -0.0125     1.9396
  564    -0.0125     1.9063
  565    -0.0125     1.8730
  566    -0.0125     1.8398
  567    -0.0125     1.8065
  568    -0.0125     1.7732
  569    -0.0125     1.7399
  570    -0.0125     1.7066
  571    -0.0125     1.6733
  572    -0.0125     1.6400
  573    -0.0125     1.6067
  574    -0.0125     1.5734
  575    -0.0125     1.5401
  576    -0.0125     1.5068
  577    -0.0125     1.4735
  578    -0.0125     1.4402
  579    -0.0125     1.4069
  580    -0.0125     1.3736
  581    -0.0125     1.3403
  582    -0.0125     1.3070
  583    -0.0125     1.2737
  584    -0.0125     1.2404
  585    -0.0125     1.2071
  586    -0.0125     1.1738
  587    -0.0125     1.1405
  588    -0.0124     1.1072
  589    -0.0122     1.0740
  590    -0.0123     1.0408
  591    -0.0129     1.0073
  592    -0.0143     0.9732
  593    -0.0162     0.9382
  594    -0.0179     0.9025
  595    -0.0185     0.8671
  596    -0.0164     0.8338
  597    -0.0105     0.8043
  598    -0.0002     0.7804
  599    +0.0151     0.7631
  600    +0.0359     0.7524
  601    +0.0621     0.7476
  602    +0.0934     0.7467
  603    +0.1288     0.7476
  604    +0.1659     0.7476
  605    +0.2019     0.7438
  606    +0.2335     0.7339
  607    +0.2586     0.7176
  608    +0.2751     0.6956
  609    +0.2821     0.6711
  610    +0.2798     0.6479
  611    +0.2680     0.6293
  612    +0.2470     0.6175
  613    +0.2184     0.6131
  614    +0.1842     0.6150
  615    +0.1473     0.6209
  616    +0.1108     0.6276
  617    +0.0771     0.6322
  618    +0.0483     0.6318
  619    +0.0248     0.6244
  620    +0.0068     0.6090
  621    -0.0059     0.5860
  622    -0.0139     0.5568
  623    -0.0178     0.5235
  624    -0.0184     0.4881
  625    -0.0170     0.4525
  626    -0.0149     0.4175
  627    -0.0134     0.3830
  628    -0.0134     0.3489
  629    -0.0144     0.3151
  630    -0.0156     0.2816
