============================================================
  ANATOMY STUDY — FULL EXTRACTED DATA
  699 contour pts, 81 strokes, 80 Y-levels
============================================================

── CONTOUR (699 points) ──
  idx         dx         dy
  y=  2.5  [+1.2776..+1.3020]  [+0.8449..+1.1224]  [-0.7306..+0.7224]  [-1.1224..-0.8531]  [-1.3020..-1.2857]
  y=  2.6  [+1.1306..+1.3184]  [+0.8939..+0.9510]  [-0.6898..+0.6816]  [-0.9592..-0.8939]  [-1.3184..-1.1306]
  y=  2.7  [+0.9347..+1.3673]  [-0.6653..+0.6571]  [-1.3755..-0.9347]
  y=  2.8  [+0.9918..+1.4408]  [-0.6327..+0.6327]  [-1.4408..-0.9918]
  y=  2.9  [+1.0082..+1.4653]  [-0.6327..+0.6327]  [-1.4653..-1.0082]
  y=  3.0  [+1.1959..+1.4816]  [+1.0163..+1.0408]  [-0.6327..+0.6327]  [-1.0408..-1.0163]  [-1.4816..-1.1959]
  y=  3.1  [+1.2041..+1.5061]  [+1.0327..+1.0571]  [-0.6408..+0.6408]  [-1.0571..-1.0408]  [-1.5061..-1.2122]
  y=  3.2  [+1.2367..+1.5224]  [+1.0735..+1.0980]  [-0.6490..+0.6490]  [-1.0980..-1.0735]  [-1.5224..-1.2367]
  y=  3.3  [+1.2612..+1.5306]  [+1.1224..+1.1469]  [-0.6816..+0.6735]  [-1.1469..-1.1224]  [-1.5306..-1.2612]
  y=  3.4  [+1.1714..+1.5388]  [-0.7061..+0.7061]  [-1.5388..-1.1796]
  y=  3.5  [+1.2286..+1.5469]  [-0.7224..+0.7224]  [-1.5469..-1.2286]
  y=  3.6  [+1.5388..+1.5633]  [+1.2612..+1.3673]  [-0.7388..+0.7388]  [-1.3673..-1.2694]  [-1.5633..-1.5388]
  y=  3.7  [+1.2939..+1.5796]  [+0.4612..+0.7633]  [-0.2980..+0.2980]  [-0.7633..-0.4612]  [-1.5796..-1.3020]
  y=  3.8  [+1.2612..+1.6286]  [+0.6816..+0.8612]  [-0.5592..+0.5592]  [-0.8612..-0.7061]  [-1.6286..-1.2612]
  y=  3.9  [+1.2776..+1.5796]  [+0.7143..+0.8204]  [+0.5184..+0.5184]  [-0.3143..+0.3143]  [-0.8204..-0.7143]  [-1.5796..-1.2776]
